"SolicitationID","Solicitation","SoliciationType","Title","CloseDate","Description","Addenda","StaffContact","Status","IsLocalPresenceRequired","IsPreBidConferenceMandatory","PreBidConference","Category","Estimate"
"112703","19RP020","Request For Proposal","REQUEST FOR PROPOSAL<BR>SEWER AND LIFT STATION CLEANING","2019-02-14 15:00:00","The City of Scottsdale invites sealed submittals for a term contract to provide ongoing maintenance and cleaning of sanitary sewer lines in order to minimize the occurrence of sewer overflows as required by the State of Arizona.","0","Cheryl Champine, Bid & Contract Specialist","Posted","True","False","","9","$640,000"
"112688","19PB011","Public Bid","PUBLIC BID<BR>TURF GRASS SOD AND STOLONS","2019-02-12 15:00:00","The City of Scottsdale invites sealed submittals to for the purchase, delivery and installation of turf grass, sod and stolons for the City parks, sport fields and other areas within the City. ","0","Karie Ingles, Bid & Contract Specialist","Posted","True","False","","9","$85,000"
"112383","18PB027","Public Bid","PUBLIC BID<BR>HAYDEN RD AND THOMAS RD INTERSECTION IMPROVEMENTS","2019-02-08 10:00:00","The City of Scottsdale invites sealed submittals for the construction of approximately 1,350 LF of intersection improvements along Thomas Road from the Indian Bend Wash Bridge to approximately 600' east of Hayden Road.  The intersection improvements will consist of new curb, gutter, sidewalk, sidewalk ramps, driveways, raised medians, surface pavement replacement, utility adjustments & relocations, storm drain facilities, pavement markings, new and relocated signals and lighting, landscaping with irrigation, and hardscape elements.  This project has a DBE Goal of 12.75%. ","1","Karie Ingles, Bid & Contract Specialist","Posted","False","False","A pre-bid conference will be held at 1:00 P.M., Local Time, January 16, 2019, at the City of Scottsdale Corp Yard Building in the Wrangler Room (1st floor, main entrance), located at 9191 E. San Salvador Drive, Scottsdale, AZ  85258.  (Additional parking can be found on the 2nd level of the parking garage directly east of the building).  All Bidders are stongly urged to attend.","7","$2,000,000 - $2,300,000"
"112681","19PB010","Public Bid","PUBLIC BID<BR>FIRE HYDRANT PAINTING SERVICE","2019-02-06 15:00:00","The City of Scottsdale invites sealed submittals for fire hydrant maintenance; cleaning and painting services.","0","Cheryl Champine, Bid & Contract Specialist","Posted","True","False","","9","$70,000"
"112673","19RP014","Request For Proposal","REQUEST FOR PROPOSAL<BR>ROADWAY PAVEMENT MARKINGS","2019-01-31 15:00:00","The City of Scottsdale (COS) invites sealed submittals to establish multi-award contracts to provide various pavement marking treatment services, for the Public Works department.  The contracted services shall include, but not be limited to; furnishing, installing, and/or removing pavement markings, marking centerlines, lane lines, bike lanes, turn lanes, parking lines, wide lines, turn arrow markings, stop lines, crosswalks, and symbols/legends, as identified in these contract specifications within the City of Scottsdale.","0","Karie Ingles, Bid & Contract Specialist","Posted","True","False","","9","$295,000"
"112702","19SQ007","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>CROSSROADS EAST PUBLIC WORK INFRASTRUCTURE","2019-01-31 12:00:00","CMAR services for pre-construction services and development of a GMP for construction phase services for public works infrastructure within a portion of the Arizona State Lands known as the Crossroads East parcels  which shall include regional drainage infrastructure, including trapezoidal channels, earthen basin with drop structure, outfall pipes and channel, erosion control, roadway improvements, wet utility work, storm drain work, utility relocations, and general grading and drainage.","3","Bill Butler, Capital Project Management","Posted","False","True","A mandatory pre-submittal meeting will be held on Wednesday, January 16, 2019 at 9:30 A.M., Local Time, at the Mustang Library Auditorium, located at 10101 N. 92nd Street, Scottsdale, AZ   85258.","10","$15,000,000"
"112676","19RP016","Request For Proposal","REQUEST FOR PROPOSAL<BR>ADULT FLAG FOOTBALL OFFICIATING SERVICES","2019-01-24 15:00:00","The City of Scottsdale Parks and Recreation invites sealed submittals to contract for officiating services for adult flag football league and tournament games.","0","Karie Ingles, Bid & Contract Specialist","Posted","True","False","","9","$26,000"
"112699","19RP019","Request For Proposal","REQUEST FOR PROPOSAL<BR>FIRE HQ WALL COVERING PROJECT","2019-01-23 15:00:00","The City of Scottsdale is seeking a qualified firm or individual to provide large format printing with interior installation at the City of Scottsdale Fire Department Headquarters Building.","1","Karie Ingles, Bid & Contract Specialist","Posted","False","False","","9","$26,000"
"112672","19SQ006","Statement of Qualifications","STATEMENT OF QUALIFICATIONS<BR>CONSTRUCTION MANAGER AT RISK FOR THOMAS GROUNDWATER TREATMENT FACILITY","2019-01-07 12:00:00","CMAR services for pre-construction services and development of a GMP for construction phase services for a 1 Million Gallons Per Day potable water RO treatment facility with supporting administrative facilities and maintenance of operations with an adjacent water treatment facility.","2","Bill Butler, Capital Project Management","Posted","False","True","A mandatory pre-submittal meeting for this RFQ will be held on Wednesday, December 5, 2018 at 10:00 A.M. at the Civic Center Library Auditorium, 3839 Drinkwater Blvd., Scottsdale, AZ 85251.","10","$15,000,000"
"112685","19RP018","Request For Proposal","REQUEST FOR PROPOSAL<BR>STADIUM TEMPORARY STRUCTURES","2018-12-31 10:00:00","The City of Scottsdale invites sealed submittals for temporary structures for Scottsdale Stadium.","1","Cheryl Champine, Bid & Contract Specialist","Awarded","True","False","A Pre-Bid Conference will be held at 9:00 A.M., LOCAL TIME, DECEMBER 19, 2018, at the Scottsdale Stadium, located at 7408 E. Osborn Rd., Scottsdale, AZ   85250.  All bidders are urged to attend.","9","$70,000"
